Ls TT EB_gmv TEB_gmv
468 1.866279e-17 3.944231e-18 3.205245e-18
469 1.850613e-17 3.915520e-18 3.181379e-18
470 1.834951e-17 3.887089e-18 3.157740e-18
471 1.819533e-17 3.858937e-18 3.134330e-18
472 1.804433e-17 3.831061e-18 3.111149e-18
473 1.789490e-17 3.803459e-18 3.088197e-18
474 1.774590e-17 3.776128e-18 3.065474e-18
475 1.759827e-17 3.749063e-18 3.042975e-18
476 1.745306e-17 3.722262e-18 3.020696e-18
477 1.730956e-17 3.695720e-18 2.998631e-18
478 1.716626e-17 3.669433e-18 2.976777e-18
479 1.702340e-17 3.643398e-18 2.955130e-18
480 1.688308e-17 3.617613e-18 2.933690e-18
481 1.674635e-17 3.592076e-18 2.912457e-18
482 1.661151e-17 3.566785e-18 2.891429e-18
483 1.647672e-17 3.541737e-18 2.870607e-18
484 1.634205e-17 3.516930e-18 2.849987e-18
485 1.620835e-17 3.492361e-18 2.829566e-18
486 1.607605e-17 3.468025e-18 2.809340e-18
487 1.594513e-17 3.443920e-18 2.789305e-18
488 1.581571e-17 3.420042e-18 2.769456e-18
489 1.568826e-17 3.396388e-18 2.749792e-18
490 1.556313e-17 3.372957e-18 2.730313e-18
491 1.543936e-17 3.349746e-18 2.711017e-18
492 1.531543e-17 3.326753e-18 2.691903e-18
493 1.519139e-17 3.303975e-18 2.672972e-18
494 1.506935e-17 3.281412e-18 2.654222e-18
495 1.495079e-17 3.259060e-18 2.635649e-18
496 1.483406e-17 3.236916e-18 2.617251e-18
497 1.471698e-17 3.214979e-18 2.599026e-18
498 1.459932e-17 3.193245e-18 2.580970e-18
499 1.448236e-17 3.171713e-18 2.563080e-18
500 1.436703e-17 3.150379e-18 2.545352e-18
501 1.425350e-17 3.129240e-18 2.527781e-18
502 1.414179e-17 3.108295e-18 2.510363e-18
503 1.403175e-17 3.087540e-18 2.493093e-18
504 1.392314e-17 3.066974e-18 2.475972e-18
505 1.381539e-17 3.046595e-18 2.459003e-18
506 1.370743e-17 3.026402e-18 2.442193e-18
507 1.359863e-17 3.006395e-18 2.425547e-18
508 1.349071e-17 2.986572e-18 2.409070e-18
509 1.338611e-17 2.966932e-18 2.392762e-18
510 1.328479e-17 2.947471e-18 2.376617e-18
511 1.318396e-17 2.928188e-18 2.360626e-18
512 1.308151e-17 2.909078e-18 2.344781e-18
513 1.297886e-17 2.890140e-18 2.329075e-18
514 1.287830e-17 2.871370e-18 2.313501e-18
515 1.278036e-17 2.852766e-18 2.298059e-18
516 1.268387e-17 2.834328e-18 2.282751e-18
517 1.258778e-17 2.816055e-18 2.267578e-18
518 1.249172e-17 2.797944e-18 2.252543e-18
519 1.239554e-17 2.779994e-18 2.237646e-18
520 1.229990e-17 2.762205e-18 2.222885e-18
521 1.220627e-17 2.744573e-18 2.208258e-18
522 1.211553e-17 2.727098e-18 2.193760e-18
523 1.202601e-17 2.709777e-18 2.179389e-18
524 1.193549e-17 2.692608e-18 2.165142e-18
525 1.184383e-17 2.675590e-18 2.151016e-18
526 1.175325e-17 2.658721e-18 2.137011e-18
527 1.166555e-17 2.641998e-18 2.123128e-18
528 1.157978e-17 2.625422e-18 2.109365e-18
529 1.149413e-17 2.608988e-18 2.095723e-18
530 1.140797e-17 2.592697e-18 2.082201e-18
531 1.132235e-17 2.576546e-18 2.068798e-18
532 1.123825e-17 2.560535e-18 2.055513e-18
533 1.115545e-17 2.544663e-18 2.042344e-18
534 1.107317e-17 2.528927e-18 2.029290e-18
