Ls T E B
505 1.447562e-17 1.551515e-18 1.456488e-18
506 1.442016e-17 1.548285e-18 1.453553e-18
507 1.436497e-17 1.545081e-18 1.450618e-18
508 1.431004e-17 1.541890e-18 1.447710e-18
509 1.425525e-17 1.538713e-18 1.444803e-18
510 1.420073e-17 1.535550e-18 1.441922e-18
511 1.414634e-17 1.532399e-18 1.439041e-18
512 1.409223e-17 1.529263e-18 1.436187e-18
513 1.403838e-17 1.526140e-18 1.433347e-18
514 1.398467e-17 1.523030e-18 1.430506e-18
515 1.393109e-17 1.519947e-18 1.427693e-18
516 1.387778e-17 1.516864e-18 1.424879e-18
517 1.382474e-17 1.513795e-18 1.422079e-18
518 1.375312e-17 1.510753e-18 1.419306e-18
519 1.366333e-17 1.507710e-18 1.416533e-18
520 1.357408e-17 1.504695e-18 1.413773e-18
521 1.348536e-17 1.501679e-18 1.411040e-18
522 1.339734e-17 1.498677e-18 1.408307e-18
523 1.330983e-17 1.495702e-18 1.405588e-18
524 1.322291e-17 1.492727e-18 1.402882e-18
525 1.313654e-17 1.489779e-18 1.400190e-18
526 1.305074e-17 1.486831e-18 1.397511e-18
527 1.296552e-17 1.483896e-18 1.394832e-18
528 1.288083e-17 1.480988e-18 1.392180e-18
529 1.279670e-17 1.478081e-18 1.389528e-18
530 1.271313e-17 1.475186e-18 1.386903e-18
531 1.263010e-17 1.472305e-18 1.384278e-18
532 1.254760e-17 1.469438e-18 1.381666e-18
533 1.246566e-17 1.466584e-18 1.379068e-18
534 1.238424e-17 1.463744e-18 1.376483e-18
535 1.230336e-17 1.460917e-18 1.373912e-18
536 1.222301e-17 1.458103e-18 1.371341e-18
537 1.214318e-17 1.455303e-18 1.368797e-18
